Source,Zone,Parameter,Mean,Std,Median,P5,P95,Min,Max,N,%Stressed/High,%Hypoxic
L5 - NBV North,Near Causeway,DO (%sat),91.68893537414966,15.476084251171025,93.01,62.74,113.29,13.41,141.45,73500,0.0,0.0
L5 - NBV North,Near Causeway,Salinity,19.047648651590606,15.217518522826369,29.2,0.0,35.34,0.0,44.17,73494,0.0,0.0
L5 - NBV North,Near Causeway,Temperature,29.05753850340136,2.6575193264462733,28.826,25.124,32.662,22.649,33.857,73500,0.0,0.0
L5 - NBV North,Near Causeway,Turbidity,240.87970788584613,385.44843839063884,14.82,0.85,747.1369999999998,-0.24,4985.81,72814,46.3,0.0
L5 - NBV North,Near Causeway,SpConductance,29410.997735646262,23221.151764394715,45382.145000000004,1.2,53551.23100000001,-1.0,69708.27,73500,0.0,0.0
L5 - NBV North,Near Causeway,Depth,10.253508843537414,1.0590980312677665,10.436,10.169,10.914,0.0,11.689,73500,0.0,0.0
L6 - NBV South,Near Causeway,DO (mg/L),6.027783549272497,1.1917511002149968,6.0,4.18,7.95,2.88,10.22,33883,2.7,0.0
L6 - NBV South,Near Causeway,DO (%sat),96.7499607472774,19.339094832780965,95.98,67.32,128.88,46.75,168.98,33883,0.0,0.0
L6 - NBV South,Near Causeway,Salinity,32.57807337012661,5.922284944042482,33.81,30.721,35.42,0.01,38.16,33883,0.0,0.0
L6 - NBV South,Near Causeway,Temperature,30.89771829531033,1.074052725819277,31.049,28.7321,32.433899999999994,26.196,33.695,33883,0.0,0.0
L6 - NBV South,Near Causeway,Turbidity,65.27589752671035,221.367699600041,25.05,1.39,153.9994999999994,-0.16,4201.24,33882,50.0,0.0
L6 - NBV South,Near Causeway,SpConductance,49847.0345007821,8984.048630205976,51674.74,47504.450000000004,53890.554000000004,31.85,57354.75,33883,0.0,0.0
L6 - NBV South,Near Causeway,Depth,3.868821591948765,5.000352604509699,0.39,0.0,10.745,-10.149,11.242,33883,0.0,0.0
